sentence,sentiment,cleaned_sentence,positive_score,negative_score,neutral_score,tiempo_fuzzification,sentimiento_defuzzificado,tiempo_defuzzificacion,tiempo_total
no i m not itchy for now maybe later lol,Negative,no i m not itchy for now maybe later lol,0.391,0.186,0.423,0.014099998224992305,Neutral,0.15239999629557133,0.16649999452056363
rt i love the nerdy stanford human biology videos makes me miss school,Positive,rt i love the nerdy stanford human biology videos makes me miss school,0.263,0.175,0.562,0.00979999458650127,Neutral,0.08920000254875049,0.09899999713525176
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,Positive,has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,0.145,0.178,0.677,0.011200005246791989,Neutral,0.08240000170189887,0.09360000694869086
i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much,Positive,i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much,0.245,0.0,0.755,0.008899995009414852,Neutral,0.08759999764151871,0.09649999265093356
is going to sleep then on a bike ride,Positive,is going to sleep then on a bike ride,0.0,0.0,1.0,0.008700000762473792,Neutral,0.10489999840501696,0.11359999916749075
cant sleep my tooth is aching,Negative,cant sleep my tooth is aching,0.0,0.39,0.61,0.00910000380827114,Negative,0.09240000508725643,0.10150000889552757
blah blah blah same old same old no plans today going back to sleep i guess,Negative,blah blah blah same old same old no plans today going back to sleep i guess,0.0,0.368,0.632,0.008700000762473792,Negative,0.08659999730298296,0.09529999806545675
glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf,Negative,glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf,0.146,0.32,0.534,0.009800001862458885,Neutral,0.0822000001790002,0.09200000204145908
obama administration must stop bonuses to aig ponzi schemers,Negative,obama administration must stop bonuses to aig ponzi schemers,0.281,0.172,0.547,0.009800001862458885,Neutral,0.11069999891333282,0.1205000007757917
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig,Negative,started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig,0.0,0.098,0.902,0.009000003046821803,Neutral,0.09519999730400741,0.10420000035082921
shaunwoo hate n on aig,Negative,shaunwoo hate n on aig,0.0,0.552,0.448,0.0092999980552122,Negative,0.07490000280085951,0.08420000085607171
you will not regret going to see star trek it was awesome,Positive,you will not regret going to see star trek it was awesome,0.391,0.0,0.609,0.009099996532313526,Positive,0.12109999806853011,0.13019999460084364
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,Negative,annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,0.0,0.13,0.87,0.011100004485342652,Neutral,0.09809999755816534,0.109200002043508
highly recommend by malcolm gladwell,Positive,highly recommend by malcolm gladwell,0.411,0.0,0.589,0.010200004908256233,Positive,0.076299998909235,0.08650000381749123
blink by malcolm gladwell amazing book and the tipping point,Positive,blink by malcolm gladwell amazing book and the tipping point,0.297,0.0,0.703,0.010299998393747956,Neutral,0.12409999908413738,0.13439999747788534
malcolm gladwell might be my new man crush,Positive,malcolm gladwell might be my new man crush,0.0,0.186,0.814,0.009999996109399945,Neutral,0.10990000009769574,0.11989999620709568
omg the commercials alone on espn are going to drive me nuts,Negative,omg the commercials alone on espn are going to drive me nuts,0.0,0.301,0.699,0.01049999991664663,Neutral,0.0962999984039925,0.10679999832063913
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,Positive,playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,0.362,0.0,0.638,0.009999996109399945,Positive,0.11069999891333282,0.12069999502273276
hello twitter api,Positive,hello twitter api,0.0,0.0,1.0,0.009399998816661537,Neutral,0.11129999620607123,0.12069999502273276
because the twitter api is slow and most client s aren t good,Negative,because the twitter api is slow and most client s aren t good,0.24,0.0,0.76,0.010000003385357559,Neutral,0.09050000517163426,0.10050000855699182
yahoo answers can be a butt sometimes,Negative,yahoo answers can be a butt sometimes,0.0,0.0,1.0,0.009400006092619151,Neutral,0.11069999891333282,0.12010000500595197
is scrapbooking with nic d,Positive,is scrapbooking with nic d,0.0,0.0,1.0,0.009499999578110874,Neutral,0.11000000085914508,0.11950000043725595
rt five things wolfram alpha does better and vastly different than google,Positive,rt five things wolfram alpha does better and vastly different than google,0.209,0.0,0.791,0.010000003385357559,Neutral,0.08550000347895548,0.09550000686431304
just changed my default pic to a nike basketball cause bball is awesome,Positive,just changed my default pic to a nike basketball cause bball is awesome,0.272,0.0,0.728,0.0109999964479357,Neutral,0.08850000449456275,0.09950000094249845
rt was just told that nike layoffs started today,Negative,rt was just told that nike layoffs started today,0.0,0.0,1.0,0.01219999830937013,Neutral,0.127500003145542,0.13970000145491213
back when i worked for nike we had one fav word just do it,Positive,back when i worked for nike we had one fav word just do it,0.2,0.0,0.8,0.014499993994832039,Neutral,0.08589999924879521,0.10039999324362725
by the way i m totally inspired by this freaky nike commercial,Positive,by the way i m totally inspired by this freaky nike commercial,0.25,0.179,0.572,0.018300001102034003,Neutral,0.08450000314041972,0.10280000424245372
class the d is supposed to come today,Positive,class the d is supposed to come today,0.0,0.0,1.0,0.008600000001024455,Neutral,0.11119999544462189,0.11979999544564635
needs someone to explain lambda calculus to him,Negative,needs someone to explain lambda calculus to him,0.0,0.0,1.0,0.019599996448960155,Neutral,0.14859999646432698,0.16819999291328713
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,Negative,took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,0.1,0.142,0.758,0.009700001101009548,Neutral,0.15829999756533653,0.16799999866634607
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,Positive,shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,0.197,0.092,0.712,0.009499999578110874,Neutral,0.09169999975711107,0.10119999933522195
yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer,Negative,yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer,0.0,0.112,0.888,0.008999995770864189,Neutral,0.1038999980664812,0.11289999383734539
great stanford course thanks for making it available to the public really helpful and informative for starting off,Positive,great stanford course thanks for making it available to the public really helpful and informative for starting off,0.402,0.0,0.598,0.009000003046821803,Positive,0.1106000054278411,0.1196000084746629
work til pm lets go lakers,Positive,work til pm lets go lakers,0.0,0.0,1.0,0.008600000001024455,Neutral,0.11690000246744603,0.12550000246847048
damn you north korea,Negative,damn you north korea,0.0,0.474,0.526,0.011199997970834374,Negative,0.07690000347793102,0.0881000014487654
can we just go ahead and blow north korea off the map already,Negative,can we just go ahead and blow north korea off the map already,0.0,0.0,1.0,0.008700000762473792,Neutral,0.11649999942164868,0.12520000018412247
north korea please cease this douchebaggery china doesn t even like you anymore,Negative,north korea please cease this douchebaggery china doesn t even like you anymore,0.324,0.0,0.676,0.008999995770864189,Positive,0.09410000347997993,0.10309999925084412
why the hell is pelosi in freakin china and on whose dime,Negative,why the hell is pelosi in freakin china and on whose dime,0.0,0.295,0.705,0.009000003046821803,Neutral,0.08459999662591144,0.09359999967273325
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,Negative,are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,0.0,0.184,0.816,0.008899995009414852,Neutral,0.0988000028883107,0.10769999789772555
insects have infected my spinach plant,Negative,insects have infected my spinach plant,0.0,0.39,0.61,0.009000003046821803,Negative,0.08819999493425712,0.09719999798107892
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,Negative,wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,0.206,0.117,0.677,0.009499999578110874,Neutral,0.07750000077066943,0.0870000003487803
just got back from church and i totally hate insects,Negative,just got back from church and i totally hate insects,0.0,0.333,0.667,0.009099996532313526,Neutral,0.09399999544257298,0.1030999919748865
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it,Negative,just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it,0.189,0.28,0.531,0.00960000033956021,Neutral,0.07789999654050916,0.08749999688006938
omgg i ohhdee want mcdonalds damn i wonder if its open lol,Positive,omgg i ohhdee want mcdonalds damn i wonder if its open lol,0.297,0.196,0.507,0.009499999578110874,Neutral,0.07639999967068434,0.08589999924879521
history exam studying ugh,Negative,history exam studying ugh,0.0,0.483,0.517,0.009199997293762863,Negative,0.0718000010238029,0.08099999831756577
i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good,Negative,i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good,0.0,0.394,0.606,0.009000003046821803,Negative,0.09549999958835542,0.10450000263517722
higher physics exam tommorow not lookin forward to it much,Negative,higher physics exam tommorow not lookin forward to it much,0.0,0.0,1.0,0.00839999847812578,Neutral,0.11320000339765102,0.1216000018757768
it s a bank holiday yet i m only out of work now exam season sucks,Negative,it s a bank holiday yet i m only out of work now exam season sucks,0.178,0.164,0.658,0.01049999991664663,Neutral,0.08209999941755086,0.09259999933419749
cheney and bush are the real culprits,Negative,cheney and bush are the real culprits,0.0,0.0,1.0,0.008700000762473792,Neutral,0.23700000019744039,0.24570000095991418
life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,Negative,life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,0.0,0.401,0.599,0.009300005331169814,Negative,0.15700000221841037,0.1663000075495802
dick cheney s dishonest speech about torture terror and obama fred kaplan slate,Negative,dick cheney s dishonest speech about torture terror and obama fred kaplan slate,0.0,0.641,0.359,0.01309999788645655,Negative,0.10479999764356762,0.11789999553002417
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio,Negative,the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio,0.099,0.245,0.657,0.009499999578110874,Neutral,0.16140000661835074,0.17090000619646162
is twitter s connections api broken some tweets didn t make it to twitter,Negative,is twitter s connections api broken some tweets didn t make it to twitter,0.0,0.22,0.78,0.009199997293762863,Neutral,0.08600000001024455,0.09519999730400741
i srsly hate the stupid twitter api timeout thing soooo annoying,Negative,i srsly hate the stupid twitter api timeout thing soooo annoying,0.0,0.583,0.417,0.00910000380827114,Negative,0.08030000026337802,0.08940000407164916
i really liked learning jquery book is worth a look too,Positive,i really liked learning jquery book is worth a look too,0.416,0.0,0.584,0.009199997293762863,Positive,0.0855999969644472,0.09479999425821006
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,Positive,very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,0.166,0.0,0.834,0.009000003046821803,Neutral,0.08440000237897038,0.09340000542579219
goodby silverstein agency new site great,Positive,goodby silverstein agency new site great,0.451,0.0,0.549,0.009199997293762863,Positive,0.11010000162059441,0.11929999891435727
rt goodby silverstein s new site i enjoy it nice find,Positive,rt goodby silverstein s new site i enjoy it nice find,0.462,0.0,0.538,0.009200004569720477,Positive,0.08450000314041972,0.0937000077101402
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,Positive,the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,0.267,0.0,0.733,0.009099996532313526,Neutral,0.09699999645818025,0.10609999299049377
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,Positive,top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,0.286,0.0,0.714,0.009000003046821803,Neutral,0.07829999958630651,0.08730000263312832
zomg i have a g,Positive,zomg i have a g,0.0,0.0,1.0,0.008499999239575118,Neutral,0.09780000254977494,0.10630000178935006
ok so lots of buzz from io but how lucky are they a free g,Positive,ok so lots of buzz from io but how lucky are they a free g,0.494,0.0,0.506,0.009199997293762863,Positive,0.09660000068834051,0.10579999798210338
just got a free g android at google i o,Positive,just got a free g android at google i o,0.398,0.0,0.602,0.009099996532313526,Positive,0.09119999594986439,0.10029999248217791
guess i ll be retiring my g and start using my developer g woot googleio,Positive,guess i ll be retiring my g and start using my developer g woot googleio,0.203,0.0,0.797,0.009000003046821803,Neutral,0.07529999857069924,0.08430000161752105
i am happy for philip being at googleio today,Positive,i am happy for philip being at googleio today,0.346,0.0,0.654,0.00910000380827114,Positive,0.08499999967170879,0.09410000347997993
lakers played great cannot wait for thursday night lakers vs,Positive,lakers played great cannot wait for thursday night lakers vs,0.448,0.0,0.552,0.009099996532313526,Positive,0.09040000441018492,0.09950000094249845
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,Positive,judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,0.258,0.127,0.615,0.00960000033956021,Neutral,0.0714999987394549,0.0810999990790151
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh,Negative,viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh,0.0,0.149,0.851,0.009000003046821803,Neutral,0.07989999721758068,0.08890000026440248
watching night at the museum lmao,Positive,watching night at the museum lmao,0.438,0.0,0.562,0.009099996532313526,Positive,0.06359999679261819,0.07269999332493171
i loved night at the museum,Positive,i loved night at the museum,0.494,0.0,0.506,0.0092999980552122,Positive,0.06290000601438805,0.07220000406960025
just got back from the movies went to see the new night at the museum with rachel it was good,Positive,just got back from the movies went to see the new night at the museum with rachel it was good,0.132,0.0,0.868,0.009000003046821803,Neutral,0.0822000001790002,0.091200003225822
i will take you on a date to see night at the museum whenever you want it looks soooooo good,Positive,i will take you on a date to see night at the museum whenever you want it looks soooooo good,0.208,0.0,0.792,0.008999995770864189,Neutral,0.08230000094044954,0.09129999671131372
no watching the night at the museum getting really good,Positive,no watching the night at the museum getting really good,0.238,0.164,0.597,0.009500006854068488,Neutral,0.06900000153109431,0.0785000083851628
night at the museum wolverine and junk food perfect monday,Positive,night at the museum wolverine and junk food perfect monday,0.291,0.0,0.709,0.009000003046821803,Neutral,0.08570000500185415,0.09470000804867595
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,Positive,saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,0.388,0.05,0.561,0.00960000033956021,Positive,0.08119999984046444,0.09080000018002465
night at the museum tonite instead of up oh well that yr old better enjoy it lol,Negative,night at the museum tonite instead of up oh well that yr old better enjoy it lol,0.458,0.0,0.542,0.009099996532313526,Positive,0.06289999873843044,0.07199999527074397
it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,Negative,it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,0.088,0.098,0.814,0.013299999409355223,Neutral,0.08299999899463728,0.0962999984039925
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,Negative,tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,0.203,0.0,0.797,0.00910000380827114,Neutral,0.07370000093942508,0.08280000474769622
oh yes but if gm dies it will only be worth more boo hahaha,Negative,oh yes but if gm dies it will only be worth more boo hahaha,0.464,0.0,0.536,0.009099996532313526,Positive,0.06910000229254365,0.07819999882485718
time warner cable is down again rd time since memorial day bummer,Negative,time warner cable is down again rd time since memorial day bummer,0.0,0.191,0.809,0.009000003046821803,Neutral,0.07569999434053898,0.08469999738736078
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,Negative,i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,0.152,0.065,0.783,0.009499999578110874,Neutral,0.07660000119358301,0.08610000077169389
nooooooo my dvr just died and i was only half way through the ea presser hate you time warner,Negative,nooooooo my dvr just died and i was only half way through the ea presser hate you time warner,0.0,0.313,0.687,0.008999995770864189,Neutral,0.07850000110920519,0.08749999688006938
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit,Negative,f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit,0.0,0.343,0.657,0.00910000380827114,Negative,0.0824999951873906,0.09159999899566174
time warner has the worse customer service ever i will never use them again,Negative,time warner has the worse customer service ever i will never use them again,0.0,0.205,0.795,0.008900002285372466,Neutral,0.07860000187065452,0.08750000415602699
time warner is the devil worst possible time for the internet to go out,Negative,time warner is the devil worst possible time for the internet to go out,0.0,0.415,0.585,0.008999995770864189,Negative,0.0886999987415038,0.097699994512368
fuck no internet damn time warner,Negative,fuck no internet damn time warner,0.0,0.737,0.263,0.009200004569720477,Negative,0.08499999967170879,0.09420000424142927
time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff,Negative,time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff,0.0,0.195,0.805,0.00910000380827114,Neutral,0.08550000347895548,0.09460000728722662
i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn,Negative,i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn,0.291,0.127,0.582,0.009399998816661537,Neutral,0.07330000516958535,0.08270000398624688
ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday,Negative,ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday,0.207,0.115,0.678,0.009499999578110874,Neutral,0.07090000144671649,0.08040000102482736
time warner s hd line up is crap,Negative,time warner s hd line up is crap,0.0,0.302,0.698,0.008999995770864189,Neutral,0.07700000423938036,0.08600000001024455
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too,Negative,is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too,0.0,0.315,0.685,0.008900002285372466,Neutral,0.07809999806340784,0.0870000003487803
time warner cable slogan where calling it a day at pm happens,Negative,time warner cable slogan where calling it a day at pm happens,0.0,0.0,1.0,0.008499999239575118,Neutral,0.10420000035082921,0.11269999959040433
recovering from surgery wishing was here,Negative,recovering from surgery wishing was here,0.275,0.0,0.725,0.009000003046821803,Neutral,0.07910000567790121,0.08810000872472301
my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt,Positive,my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt,0.099,0.282,0.62,0.009399998816661537,Neutral,0.08200000593205914,0.09140000474872068
the dentist lied u won t feel any discomort prob won t even need pain pills man u twippin this shit hurt how many pills can i take,Negative,the dentist lied u won t feel any discomort prob won t even need pain pills man u twippin this shit hurt how many pills can i take,0.195,0.357,0.448,0.009499999578110874,Neutral,0.11439999798312783,0.1238999975612387
my dentist is great but she s expensive,Negative,my dentist is great but she s expensive,0.298,0.0,0.702,0.008999995770864189,Neutral,0.1345000055152923,0.14350000128615648
is studing math tomorrow exam and dentist,Positive,is studing math tomorrow exam and dentist,0.0,0.0,1.0,0.008600000001024455,Neutral,0.22020000324118882,0.22880000324221328
my dentist was wrong wrong,Negative,my dentist was wrong wrong,0.0,0.674,0.326,0.009099996532313526,Negative,0.13330000365385786,0.14240000018617138
going to the dentist later,Negative,going to the dentist later,0.0,0.0,1.0,0.008499999239575118,Neutral,0.31799999851500615,0.3264999977545813
son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell,Negative,son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell,0.184,0.117,0.698,0.009499999578110874,Neutral,0.20680000307038426,0.21630000264849514
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,Negative,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,0.0,0.15,0.85,0.009200004569720477,Neutral,0.2049000031547621,0.21410000772448257
safeway is very rock n roll tonight,Positive,safeway is very rock n roll tonight,0.0,0.0,1.0,0.008499999239575118,Neutral,0.26530000468483195,0.27380000392440706
the safeway bathroom still smells like ass,Negative,the safeway bathroom still smells like ass,0.227,0.318,0.455,0.01309999788645655,Neutral,0.24279999342979863,0.2558999913162552
at safeway on elkhorn they move like they re dead,Negative,at safeway on elkhorn they move like they re dead,0.169,0.291,0.541,0.009499999578110874,Neutral,0.10440000187372789,0.11390000145183876
i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol,Positive,i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol,0.388,0.1,0.512,0.00960000033956021,Neutral,0.1005000012810342,0.11010000162059441
found nothing at nike factory off to banana republic outlet,Negative,found nothing at nike factory off to banana republic outlet,0.0,0.0,1.0,0.008600000001024455,Neutral,0.115999995614402,0.12459999561542645
is lovin his nike already and that s only from running on the spot in his bedroom,Positive,is lovin his nike already and that s only from running on the spot in his bedroom,0.0,0.0,1.0,0.008600000001024455,Neutral,0.1362999973935075,0.14489999739453197
i finally got around to using jquery to make my bio collapse yay for slide animations,Positive,i finally got around to using jquery to make my bio collapse yay for slide animations,0.173,0.163,0.663,0.00960000033956021,Neutral,0.14510000619338825,0.15470000653294846
right lol we ll get there i have high expectations warren buffet style,Positive,right lol we ll get there i have high expectations warren buffet style,0.203,0.0,0.797,0.009000003046821803,Neutral,0.08569999772589654,0.09470000077271834
